L4 | Sun May 05 22:36:55 2019 (268 ms) | general | New game starting up
L4 | Sun May 05 22:38:02 2019 (648 ms) | general | Ideal window dimensions:  640x480

L4 | Sun May 05 22:38:02 2019 (648 ms) | general | Screen width smaller than target game width, fixing
L4 | Sun May 05 22:38:02 2019 (648 ms) | general | Screen height smaller than target game height, fixing
L4 | Sun May 05 22:38:02 2019 (649 ms) | general | Trying to start in fullscreen mode.
L4 | Sun May 05 22:38:02 2019 (650 ms) | general | The following frame rates are considered possible:
L4 | Sun May 05 22:38:02 2019 (650 ms) | general | 60 fps
L4 | Sun May 05 22:38:02 2019 (650 ms) | general | 120 fps
L4 | Sun May 05 22:38:02 2019 (650 ms) | general | 144 fps
L4 | Sun May 05 22:38:02 2019 (657 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Sun May 05 22:38:02 2019 (657 ms) | general | Current screen configuration is 1366x768 with aspect ratio 1.77
L4 | Sun May 05 22:38:02 2019 (657 ms) | general | Sticking with user's current screen resolution
L4 | Sun May 05 22:38:02 2019 (657 ms) | general | Checking if requested video mode (1366x768) is available
L4 | Sun May 05 22:38:02 2019 (657 ms) | general | Available video modes:
L5 | Sun May 05 22:38:02 2019 (658 ms) | general |    1366 x 768

L4 | Sun May 05 22:38:02 2019 (658 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sun May 05 22:38:02 2019 (658 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sun May 05 22:38:02 2019 (658 ms) | general |    1360 x 768

L4 | Sun May 05 22:38:02 2019 (658 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun May 05 22:38:02 2019 (658 ms) | general |    1280 x 768

L5 | Sun May 05 22:38:02 2019 (658 ms) | general |    1280 x 720

L4 | Sun May 05 22:38:02 2019 (658 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun May 05 22:38:02 2019 (658 ms) | general |    1280 x 600

L5 | Sun May 05 22:38:02 2019 (658 ms) | general |    1024 x 768

L5 | Sun May 05 22:38:02 2019 (658 ms) | general |    800 x 600

L5 | Sun May 05 22:38:02 2019 (658 ms) | general |    640 x 480

L5 | Sun May 05 22:38:02 2019 (658 ms) | general |    640 x 400

L5 | Sun May 05 22:38:02 2019 (659 ms) | general |    512 x 384

L5 | Sun May 05 22:38:02 2019 (659 ms) | general |    400 x 300

L5 | Sun May 05 22:38:02 2019 (659 ms) | general |    320 x 240

L5 | Sun May 05 22:38:02 2019 (659 ms) | general |    320 x 200

L4 | Sun May 05 22:38:03 2019 (14 ms) | general | Successfully opened audio: 22050Hz (requested 22050Hz), sample buffer size=512 (requested 512)

L1 | Sun May 05 22:38:03 2019 (14 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L4 | Sun May 05 22:38:06 2019 (56 ms) | general | Measured frame rate = 1137.287596 fps

L4 | Sun May 05 22:38:06 2019 (56 ms) | general | Closest possible frame rate = 144 fps

L4 | Sun May 05 22:38:06 2019 (57 ms) | general | Vsync to enforce closested frame rate of 144 fps doesn't seem to be in effect.

L4 | Sun May 05 22:38:06 2019 (57 ms) | general | Will sleep each frame to enforce desired frame rate of 60 fps

L4 | Sun May 05 22:39:03 2019 (212 ms) | general | exiting...

L4 | Sun May 05 22:39:03 2019 (212 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sun May 05 22:39:03 2019 (287 ms) | general | exiting: Deleting sceneHandler

L4 | Sun May 05 22:39:03 2019 (287 ms) | general | Freeing sound sprites

L4 | Sun May 05 22:39:03 2019 (287 ms) | general | exiting: Deleting screen

L4 | Sun May 05 22:39:03 2019 (287 ms) | general | exiting: freeing drawString

L4 | Sun May 05 22:39:03 2019 (287 ms) | general | exiting: calling SDL_Quit()

L4 | Sun May 05 22:39:03 2019 (521 ms) | general | exiting: Done.

L4 | Sun May 05 22:39:18 2019 (2 ms) | general | New game starting up
L4 | Sun May 05 22:39:18 2019 (3 ms) | general | Target game image size:  1024x600

L4 | Sun May 05 22:39:18 2019 (5 ms) | general | Ideal window dimensions:  1280x720

L4 | Sun May 05 22:39:18 2019 (6 ms) | general | Trying to start in fullscreen mode.
L4 | Sun May 05 22:39:18 2019 (8 ms) | general | The following frame rates are considered possible:
L4 | Sun May 05 22:39:18 2019 (8 ms) | general | 30 fps
L4 | Sun May 05 22:39:18 2019 (8 ms) | general | 60 fps
L4 | Sun May 05 22:39:18 2019 (8 ms) | general | 100 fps
L4 | Sun May 05 22:39:18 2019 (9 ms) | general | 120 fps
L4 | Sun May 05 22:39:18 2019 (9 ms) | general | 144 fps
L4 | Sun May 05 22:39:18 2019 (20 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Sun May 05 22:39:18 2019 (20 ms) | general | Current screen configuration is 1366x768 with aspect ratio 1.77
L4 | Sun May 05 22:39:18 2019 (20 ms) | general | Sticking with user's current screen resolution
L4 | Sun May 05 22:39:18 2019 (20 ms) | general | Checking if requested video mode (1366x768) is available
L4 | Sun May 05 22:39:18 2019 (20 ms) | general | Available video modes:
L5 | Sun May 05 22:39:18 2019 (21 ms) | general |    1366 x 768

L4 | Sun May 05 22:39:18 2019 (21 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sun May 05 22:39:18 2019 (21 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sun May 05 22:39:18 2019 (21 ms) | general |    1360 x 768

L4 | Sun May 05 22:39:18 2019 (21 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun May 05 22:39:18 2019 (21 ms) | general |    1280 x 768

L5 | Sun May 05 22:39:18 2019 (21 ms) | general |    1280 x 720

L4 | Sun May 05 22:39:18 2019 (21 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun May 05 22:39:18 2019 (21 ms) | general |    1280 x 600

L5 | Sun May 05 22:39:18 2019 (21 ms) | general |    1024 x 768

L5 | Sun May 05 22:39:18 2019 (21 ms) | general |    800 x 600

L5 | Sun May 05 22:39:18 2019 (21 ms) | general |    640 x 480

L5 | Sun May 05 22:39:18 2019 (21 ms) | general |    640 x 400

L5 | Sun May 05 22:39:18 2019 (22 ms) | general |    512 x 384

L5 | Sun May 05 22:39:18 2019 (22 ms) | general |    400 x 300

L5 | Sun May 05 22:39:18 2019 (22 ms) | general |    320 x 240

L5 | Sun May 05 22:39:18 2019 (22 ms) | general |    320 x 200

L4 | Sun May 05 22:39:18 2019 (400 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L1 | Sun May 05 22:39:18 2019 (400 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L4 | Sun May 05 22:39:18 2019 (406 ms) | general | Recording game into file recordedGames\recordedGame000001.txt
L4 | Sun May 05 22:39:18 2019 (407 ms) | general | Only keeping 20 past recordings
L4 | Sun May 05 22:39:18 2019 (407 ms) | general | Removed 0 stale recordings
L1 | Sun May 05 22:39:18 2019 (432 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Sun May 05 22:39:18 2019 (432 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Sun May 05 22:39:18 2019 (433 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Sun May 05 22:39:18 2019 (435 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Sun May 05 22:39:18 2019 (436 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Sun May 05 22:39:18 2019 (436 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Sun May 05 22:39:18 2019 (436 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Sun May 05 22:39:18 2019 (437 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (437 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (437 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (438 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (438 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (438 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (439 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (440 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (440 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (441 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (441 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (442 ms) | general | CRITICAL ERROR:  TGA file graphics\centerMark.tga does not exist
L1 | Sun May 05 22:39:18 2019 (442 ms) | general | CRITICAL ERROR:  TGA file graphics\internalPaperMark.tga does not exist
L1 | Sun May 05 22:39:18 2019 (443 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Sun May 05 22:39:18 2019 (443 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Sun May 05 22:39:18 2019 (443 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Sun May 05 22:39:18 2019 (444 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Sun May 05 22:39:18 2019 (444 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (445 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (445 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Sun May 05 22:39:18 2019 (446 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Sun May 05 22:39:18 2019 (446 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Sun May 05 22:39:18 2019 (447 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Sun May 05 22:39:18 2019 (447 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (448 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (448 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (448 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (449 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (449 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (450 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (450 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (450 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (451 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (451 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (451 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (452 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (452 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (452 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (452 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (453 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (453 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (453 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (454 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (454 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (454 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (455 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (455 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (455 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (456 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (456 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (457 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (457 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (457 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (457 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (458 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (458 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (458 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (458 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (459 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (459 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (459 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (459 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (460 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (460 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (460 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (461 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (461 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (461 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (461 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (462 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (462 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (462 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (462 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (463 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (463 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (463 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (464 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (464 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (464 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (465 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (465 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (465 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (465 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (466 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (466 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (466 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (466 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (467 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (467 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (467 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (467 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (468 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (468 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (468 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (469 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Sun May 05 22:39:18 2019 (469 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (469 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (470 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (470 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (470 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (470 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (471 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (471 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (471 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (471 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (472 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (472 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (472 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (472 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (473 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (473 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (473 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (473 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (474 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (474 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (474 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (474 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (475 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (475 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (475 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (475 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (476 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (476 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (476 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (476 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (477 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (477 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (477 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (477 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Sun May 05 22:39:18 2019 (478 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Sun May 05 22:39:18 2019 (478 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Sun May 05 22:39:18 2019 (478 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Sun May 05 22:39:18 2019 (478 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
